GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "20061","Geary, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1592146,1607327,1720606,1842853,1935523,2259367,2624263,2852385,2855071,3085702,3130022,3052708,2850592,2792093,2777276,2675901,2664914,2670597,2633825,2671243
 "20061","Geary, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",52.155,52.653,56.363,60.368,63.403,74.012,85.965,93.438,93.526,101.081,102.533,100.000,93.379,91.463,90.977,87.657,87.297,87.483,86.278,87.504
 "20061","Geary, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1157873,1218066,1358437,1502282,1635161,1979372,2381577,2648943,2716988,2996596,3091648,3052708,2889321,2893740,2941654,2865020,2899317,2978987,3003509,3111482
 "20063","Gove, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",171304,162332,148525,97472,145041,162296,213371,187880,201217,215759,259383,208568,207420,172179,210134,230718,156589,156065,152348,155147
 "20063","Gove, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",82.133,77.831,71.212,46.734,69.541,77.814,102.303,90.081,96.476,103.448,124.364,100.000,99.450,82.553,100.751,110.620,75.078,74.827,73.045,74.387
 "20063","Gove, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",122231,114035,109968,77229,114494,130967,183380,166924,164699,189239,255214,208568,211555,173363,196126,204251,143765,148527,146175,148836
 "20065","Graham, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",113894,99104,106433,86287,106059,107194,142645,138075,141116,136097,158632,155583,163329,139544,140215,123113,132986,130788,130081,128804
 "20065","Graham, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",73.204,63.699,68.409,55.460,68.169,68.898,91.684,88.747,90.701,87.476,101.960,100.000,104.978,89.691,90.123,79.130,85.476,84.063,83.609,82.788
 "20065","Graham, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",79008,68277,78800,67990,89189,92995,132874,139574,115857,123719,161072,155583,169476,142730,126135,107583,120283,123761,123356,118217
 "20067","Grant, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",497951,529249,541774,495094,560148,497775,476485,511392,601113,609237,651437,558411,592223,629755,602696,752234,580591,632022,485625,461610
 "20067","Grant, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",89.173,94.778,97.021,88.661,100.311,89.141,85.329,91.580,107.647,109.102,116.659,100.000,106.055,112.776,107.930,134.710,103.972,113.182,86.966,82.665
 "20067","Grant, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",303471,305243,360857,364537,431065,386480,402793,470422,456801,515598,643916,558411,610974,626959,501446,580045,479835,535224,405189,371362
 "20069","Gray, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",303331,305316,286328,259520,343502,264554,290914,321651,395809,550410,555512,567879,674841,715048,779584,953169,803988,782754,701121,609623
 "20069","Gray, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",53.415,53.764,50.421,45.700,60.489,46.586,51.228,56.641,69.700,96.924,97.822,100.000,118.835,125.916,137.280,167.847,141.577,137.838,123.463,107.351
